Year,Month,Index
1797,Mar,2.651016849
1797,Apr,2.746538291
1797,May,2.66070897
1797,Jun,2.560624209
1797,Jul,2.467925398
1797,Aug,2.445799919
1797,Sep,2.541868621
1797,Oct,2.439974779
1797,Nov,2.484665429
1797,Dec,2.494369576
1798,Jan,2.434073829
1798,Feb,2.455299737
1798,Mar,2.456395791
1798,Apr,2.506279484
1798,May,2.566207616
1798,Jun,2.585714262
1798,Jul,2.794204642
1798,Aug,2.689184225
1798,Sep,2.78289822
1798,Oct,2.780006738
1798,Nov,2.811832291
1798,Dec,2.754024241
1799,Jan,2.830332433
1799,Feb,2.862798011
1799,Mar,3.105973697
1799,Apr,3.317261797
1799,May,3.456230545
1799,Jun,3.302149502
